round,order,b_t,f_t,b_ep,f_ep,b_st,f_st,b_e1,f_e1,b_auc,f_auc,d_s,d_pct,st_pct
102,base,57.84,61.1,58,72,0.86,0.75,8.83,7.92,0.8070017622899319,0.8069390334493172,-3.259999999999998,-5.636237897648682,12.790697674418603
110,base,59.55,57.63,58,66,0.87,0.75,10.0,8.94,0.8069038294400417,0.8068664406275495,1.9199999999999946,3.2241813602015026,13.793103448275863
108,base,56.88,53.39,56,61,0.86,0.75,9.43,8.13,0.80690716549518,0.8071161236981348,3.490000000000002,6.135724331926867,12.790697674418603
109,fast2,59.1,54.65,57,60,0.87,0.75,10.53,10.38,0.8068852568892615,0.8068700180106292,4.450000000000003,7.52961082910322,13.793103448275863
107,fast2,56.42,50.63,56,57,0.86,0.75,8.76,8.48,0.8069669208811934,0.8069145714560925,5.789999999999999,10.262318326834453,12.790697674418603
111,fast2,58.77,49.47,57,55,0.87,0.75,10.0,9.01,0.8070068890042938,0.8069934355409928,9.300000000000004,15.824400204185816,13.793103448275863
101,fast2,62.36,52.4,59,59,0.88,0.75,11.39,8.85,0.8071929453199476,0.8071002998616049,9.96,15.971776779987174,14.772727272727273
104,base,60.13,49.47,58,55,0.87,0.75,10.68,9.08,0.8071740849134411,0.807094587544435,10.660000000000004,17.72825544653252,13.793103448275863
15,fast2,72.45,58.47,56,59,1.01,0.75,15.82,14.13,0.8069752691218738,0.8070594105376022,13.980000000000004,19.296066252588,25.742574257425744
106,base,61.91,49.42,61,56,0.86,0.75,10.0,7.97,0.8069017179706499,0.8070714260226114,12.489999999999995,20.174446777580354,12.790697674418603
105,fast2,63.43,50.54,61,56,0.87,0.75,10.85,9.36,0.8069415785891705,0.8070050708925327,12.89,20.321614378054548,13.793103448275863
17,fast2,73.97,58.82,57,60,1.005,0.75,16.7,14.48,0.8068931573784902,0.8068608581144466,15.149999999999999,20.481276193051233,25.3731343283582
16,base,71.18,56.02,55,56,1.0,0.75,16.97,14.52,0.8071193979733695,0.8070231080991431,15.160000000000004,21.298117448721555,25.0
100,base,63.44,48.41,63,55,0.86,0.75,10.11,7.96,0.8070509308085101,0.8071197704508094,15.030000000000001,23.691677175283733,12.790697674418603
103,fast2,76.19,51.51,76,56,0.87,0.75,11.08,10.34,0.8070197314887848,0.8071516233622859,24.68,32.39270245439034,13.793103448275863
